tconst	primaryTitle	titleType	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	combined_features
tt0135367	Debbie Does Dallas 4	movie	Debbie Does Dallas 4	1	1988	\N	72	Adult	movie Debbie Does Dallas 4 Debbie Does Dallas 4 1 1988 \N 72 Adult
tt0135368	Debbie Does Dallas 5	movie	Debbie Does Dallas 5	1	1988	\N	73	Adult	movie Debbie Does Dallas 5 Debbie Does Dallas 5 1 1988 \N 73 Adult
tt0135370	Debbie Does Hawaii	movie	Debbie Does Hawaii	1	1979	\N	77	Adult	movie Debbie Does Hawaii Debbie Does Hawaii 1 1979 \N 77 Adult
tt0135376	Deep Inside Rachel Ashley	movie	Deep Inside Rachel Ashley	1	1987	\N	71	Adult	movie Deep Inside Rachel Ashley Deep Inside Rachel Ashley 1 1987 \N 71 Adult
tt0135380	Deep Tango	movie	Deep Tango	1	1974	\N	86	Adult,Comedy	movie Deep Tango Deep Tango 1 1974 \N 86 Adult,Comedy
tt0135382	Deep in Deanna Jones	movie	Deep in Deanna Jones	1	1989	\N	78	Adult	movie Deep in Deanna Jones Deep in Deanna Jones 1 1989 \N 78 Adult
tt0135384	Deeper Spikes	movie	Deeper Spikes	1	1984	\N	50	Adult	movie Deeper Spikes Deeper Spikes 1 1984 \N 50 Adult
tt0135390	Deflowered Anal Girls	movie	Deflowered Anal Girls	1	1993	\N	72	Adult	movie Deflowered Anal Girls Deflowered Anal Girls 1 1993 \N 72 Adult
tt0135392	Trouble for Fathers	movie	Dellistavrou kai Yios	0	1957	\N	88	Comedy,Romance	movie Trouble for Fathers Dellistavrou kai Yios 0 1957 \N 88 Comedy,Romance
tt0135393	Dhaal: The Battle of Law Against Law	movie	Dhaal: The Battle of Law Against Law	0	1997	\N	148	Action,Drama	movie Dhaal: The Battle of Law Against Law Dhaal: The Battle of Law Against Law 0 1997 \N 148 Action,Drama
tt0135394	Ta didyma	movie	Ta didyma	0	1964	\N	82	Comedy	movie Ta didyma Ta didyma 0 1964 \N 82 Comedy
tt0135395	I diki sou moira me sernei	movie	I diki sou moira me sernei	0	1964	\N	78	Drama,Romance	movie I diki sou moira me sernei I diki sou moira me sernei 0 1964 \N 78 Drama,Romance
tt0135396	Dinner am Valentinstag	movie	Dinner am Valentinstag	0	1997	\N	\N	\N	movie Dinner am Valentinstag Dinner am Valentinstag 0 1997 \N \N \N
tt0135397	I dipsa	movie	I dipsa	0	1957	\N	73	Drama	movie I dipsa I dipsa 0 1957 \N 73 Drama
tt0135398	Dirty	movie	Dirty	0	1998	\N	94	Comedy,Drama	movie Dirty Dirty 0 1998 \N 94 Comedy,Drama
tt0135399	Do Ustad	movie	Do Ustad	0	1959	\N	139	Action,Crime,Drama	movie Do Ustad Do Ustad 0 1959 \N 139 Action,Crime,Drama
tt0135400	Dollars and Dreams	movie	Dollaria kai oneira	0	1956	\N	87	Comedy,Romance	movie Dollars and Dreams Dollaria kai oneira 0 1956 \N 87 Comedy,Romance
tt0135404	Ebony Parade	movie	Ebony Parade	0	1947	\N	\N	Comedy,Musical	movie Ebony Parade Ebony Parade 0 1947 \N \N Comedy,Musical
tt0135405	Efhi kai katara	movie	Efhi kai katara	0	1964	\N	90	Drama	movie Efhi kai katara Efhi kai katara 0 1964 \N 90 Drama
tt0135406	Egoism	movie	Egoismos	0	1964	\N	85	Drama,Romance	movie Egoism Egoismos 0 1964 \N 85 Drama,Romance
